Slug,Month,Day,FormattedDate,PrimaryArcanaNum,ArcanaName,VignetteTitle,WordCount,SimilarityPassed,Status
january-25,January,25,January 25,7,"The Chariot","The January 25 Catalyst: Navigating The Chariot Energy",153,TRUE,COMPLETED
january-26,January,26,January 26,8,"Justice","The January 26 Catalyst: Navigating Justice Energy",153,TRUE,COMPLETED
january-27,January,27,January 27,9,"The Hermit","The January 27 Catalyst: Navigating The Hermit Energy",154,TRUE,COMPLETED
january-28,January,28,January 28,10,"Wheel of Fortune","The January 28 Catalyst: Navigating Wheel of Fortune Energy",160,TRUE,COMPLETED
january-29,January,29,January 29,11,"Strength","The Visionary Reformer: Mobilizing Communities for Lasting Social Progress",159,TRUE,COMPLETED
january-30,January,30,January 30,3,"The Empress","The January 30 Catalyst: Navigating The Empress Energy",162,TRUE,COMPLETED
january-31,January,31,January 31,4,"The Emperor","The January 31 Catalyst: Navigating The Emperor Energy",171,TRUE,COMPLETED
february-1,February,1,February 1,1,"The Magician","The Late-Winter Innovator: Sparking Breakthrough Systems in Stagnant Operations",189,TRUE,COMPLETED
february-2,February,2,February 2,2,"The High Priestess","The Intuitive Sentinel: Detecting Unspoken Market Signals",168,TRUE,COMPLETED
february-3,February,3,February 3,3,"The Empress","The Aesthetic Director: Curating Transformative Brand Experiences",156,TRUE,COMPLETED
february-4,February,4,February 4,4,"The Emperor","The Eco-Infrastructure Developer: Building Next-Generation Sustainable Cities",157,TRUE,COMPLETED
february-5,February,5,February 5,5,"The Hierophant","The Modern Educationalist: Revolutionizing Learning Frameworks",155,TRUE,COMPLETED
february-6,February,6,February 6,6,"The Lovers","The Relational Mediator: Realigning Partnerships Around Authentic Values",151,TRUE,COMPLETED
february-7,February,7,February 7,7,"The Chariot","The Tech Logistics Pioneer: Revolutionizing Clean Supply Chains",150,TRUE,COMPLETED
february-8,February,8,February 8,8,"Justice","The Bio-Ethics Auditor: Guarding Scientific Compliance",141,TRUE,COMPLETED
february-9,February,9,February 9,9,"The Hermit","The Deep-Space Data Analyst: Uncovering Signal Anomalies in Quiet Study",153,TRUE,COMPLETED
february-10,February,10,February 10,10,"Wheel of Fortune","The Trend Forecast Strategist: Navigating Market Volatility",156,TRUE,COMPLETED
february-11,February,11,February 11,11,"Strength","The High-Performance Coach: Empowering Elite Talent Under Pressure",155,TRUE,COMPLETED
february-12,February,12,February 12,12,"The Hanged Man","The Avant-Garde Designer: Inverting Industry Paradigms",167,TRUE,COMPLETED
february-13,February,13,February 13,13,"Transformation (Death)","The Transformation Specialist: Turning Failing Firms Into Agile Ventures",158,TRUE,COMPLETED
february-14,February,14,February 14,14,"Temperance","The Cultural Alchemist: Blending Diverse Traditions Into Harmonious Media",155,TRUE,COMPLETED
february-15,February,15,February 15,15,"The Devil","The Recovery Strategist: Liberating Clients From Subconscious Traps",160,TRUE,COMPLETED
february-16,February,16,February 16,16,"The Tower","The Structural Safety Whistleblower: Exposing Flaws to Save Lives",159,TRUE,COMPLETED
february-17,February,17,February 17,17,"The Star","The Renewable Energy Visionary: Securing Grants for Clean Tech",164,TRUE,COMPLETED
february-18,February,18,February 18,18,"The Moon","The Psychological Novelist: Crafting Subconscious Plot Masterpieces",160,TRUE,COMPLETED
february-19,February,19,February 19,19,"The Sun","The Solar Entrepreneur: Championing Youth Innovation Incubators",150,TRUE,COMPLETED
february-20,February,20,February 20,20,"Judgement","The Lineage Researcher: Reconnecting Lost Heritage Archives",161,TRUE,COMPLETED
february-21,February,21,February 21,21,"The World","The Global Envoy: Finalizing International Environmental Treaties",154,TRUE,COMPLETED
february-22,February,22,February 22,22,"The Fool","The Visionary Incubator: Launching Nomadic Tech Sanctuaries",168,TRUE,COMPLETED
february-23,February,23,February 23,5,"The Hierophant","The Compassionate Guide: Healing Relational Divides Through Shared Truths",158,TRUE,COMPLETED
february-24,February,24,February 24,6,"The Lovers","The Partnership Architect: Structuring Sustainable Creative Alliances",163,TRUE,COMPLETED
february-25,February,25,February 25,7,"The Chariot","The Humanitarian Logistics Chief: Delivering Relief to Remote Regions",169,TRUE,COMPLETED
february-26,February,26,February 26,8,"Justice","The Bio-Ethics Chair: Establishing Fair Ocean Conservation Protocols",160,TRUE,COMPLETED
february-27,February,27,February 27,9,"The Hermit","The Deep-Sea Biologist: Mapping Unexplored Ocean Trenches",169,TRUE,COMPLETED
february-28,February,28,February 28,10,"Wheel of Fortune","The Climate Tech Investor: Funding Next-Generation Energy Grids",166,TRUE,COMPLETED
february-29,February,29,February 29,11,"Strength","The Leap Year Catalyst: Turning Rare Adversity Into Historic Triumph",196,TRUE,COMPLETED
march-1,March,1,March 1,1,"The Magician","The Spring Awakening Pioneer: Pitching Sustainable Design Apps",176,TRUE,COMPLETED
march-2,March,2,March 2,2,"The High Priestess","The Intuitive Marine Biologist: Reading Subtle Oceanic Tide Shifts",165,TRUE,COMPLETED
march-3,March,3,March 3,3,"The Empress","The Botanical Curator: Breeding Rare Spring Orchid Varieties",161,TRUE,COMPLETED
march-4,March,4,March 4,4,"The Emperor","The Civic Restoration Architect: Rebuilding Heritage Urban Centers",151,TRUE,COMPLETED
march-5,March,5,March 5,5,"The Hierophant","The Manuscript Translator: Unlocking Ancient Wisdom Archives",158,TRUE,COMPLETED
march-6,March,6,March 6,6,"The Lovers","The Vernal Relationship Counselor: Guiding Couples into Spring Renewal",161,TRUE,COMPLETED
march-7,March,7,March 7,7,"The Chariot","The Ocean Racing Captain: Guiding Sailing Fleets Across Stormy Seas",166,TRUE,COMPLETED
march-8,March,8,March 8,8,"Justice","The Human Rights Advocate: Auditing Global Labor Standards",152,TRUE,COMPLETED
march-9,March,9,March 9,9,"The Hermit","The Coastal Meteorologist: Tracking Extreme Ocean Weather",159,TRUE,COMPLETED
march-10,March,10,March 10,10,"Wheel of Fortune","The Commodities Forecast Trader: Timing Agricultural Crop Cycles",165,TRUE,COMPLETED
march-11,March,11,March 11,11,"Strength","The Wildlife Conservationist: Rehabilitating Apex Predators",162,TRUE,COMPLETED
march-12,March,12,March 12,12,"The Hanged Man","The Surrealist Sculptor: Inverting Gravitational Forms",173,TRUE,COMPLETED
march-13,March,13,March 13,13,"Transformation (Death)","The Waste Recovery Pioneer: Converting Ocean Plastics Into Clean Fuel",161,TRUE,COMPLETED
march-14,March,14,March 14,14,"Temperance","The Pi Day Algorithmic Analyst: Balancing Complex Data Equations",160,TRUE,COMPLETED
march-15,March,15,March 15,15,"The Devil","The Corporate Whistleblower: Exposing Hidden Monopolistic Controls",160,TRUE,COMPLETED
march-16,March,16,March 16,16,"The Tower","The Volcanologist: Warning Communities Before Seismic Eruptions",169,TRUE,COMPLETED
march-17,March,17,March 17,17,"The Star","The Eco-Mythology Artist: Celebrating Celestial Green Traditions",171,TRUE,COMPLETED
march-18,March,18,March 18,18,"The Moon","The Lucid Dream Researcher: Mapping Subconscious Sleep States",163,TRUE,COMPLETED
march-19,March,19,March 19,19,"The Sun","The Solar Thermal Engineer: Installing High-Efficiency Desert Energy Arrays",164,TRUE,COMPLETED
march-20,March,20,March 20,20,"Judgement","The Equinox Harmonizer: Unifying International Cultural Choirs",171,TRUE,COMPLETED
march-21,March,21,March 21,21,"The World","The Global Trade Pioneer: Launching International Eco-Marketplaces",173,TRUE,COMPLETED
march-22,March,22,March 22,22,"The Fool","The Wilderness Expedition Pioneer: Leading Mountain Climbs",174,TRUE,COMPLETED
march-23,March,23,March 23,5,"The Hierophant","The Visionary Speaker: Authoring Pioneering Leadership Manuals",162,TRUE,COMPLETED
march-24,March,24,March 24,6,"The Lovers","The Creative Co-Production Director: Structuring Media Alliances",166,TRUE,COMPLETED
march-25,March,25,March 25,7,"The Chariot","The Relief Pilot: Flying Medical Supplies to Remote Island Communities",173,TRUE,COMPLETED
march-26,March,26,March 26,8,"Justice","The Genetic Ethics Officer: Auditing Gene Therapy Trial Compliance",169,TRUE,COMPLETED
march-27,March,27,March 27,9,"The Hermit","The Mountain Observatory Astronomer: Discovering Exoplanet Systems",166,TRUE,COMPLETED
march-28,March,28,March 28,10,"Wheel of Fortune","The Solar Grid Venture Capitalist: Funding Next-Gen Renewable Grids",182,TRUE,COMPLETED
march-29,March,29,March 29,11,"Strength","The Trauma Surgery Chief: Orchestrating High-Intensity Operating Rooms",180,TRUE,COMPLETED
march-30,March,30,March 30,3,"The Empress","The Vertical Farming Pioneer: Scaling Organic Urban Agriculture",168,TRUE,COMPLETED
march-31,March,31,March 31,4,"The Emperor","The Turnaround CEO: Restructuring Q1 Operations for Maximum Efficiency",180,TRUE,COMPLETED
april-1,April,1,April 1,1,"The Magician","The April Fool's Innovator: Turning Audacious Ideas into Market Hits",166,TRUE,COMPLETED
april-2,April,2,April 2,2,"The High Priestess","The Strategic Corporate Advisor: Uncovering Hidden Market Risk",159,TRUE,COMPLETED
april-3,April,3,April 3,3,"The Empress","The Luxury Landscape Architect: Designing Eco-Resort Conservatories",153,TRUE,COMPLETED
april-4,April,4,April 4,4,"The Emperor","The Industrial Infrastructure Engineer: Building Resilient Transit Networks",151,TRUE,COMPLETED
april-5,April,5,April 5,5,"The Hierophant","The Educational Reformer: Launching Modern Corporate Ethics Academies",160,TRUE,COMPLETED
april-6,April,6,April 6,6,"The Lovers","The Brand Merger Strategist: Unifying Creative Agencies",155,TRUE,COMPLETED
april-7,April,7,April 7,7,"The Chariot","The Motorsport Chief Engineer: Winning Electric Regattas & Grand Prix",166,TRUE,COMPLETED
april-8,April,8,April 8,8,"Justice","The Antitrust Regulatory Lead: Auditing Global Tech Mergers",163,TRUE,COMPLETED
april-9,April,9,April 9,9,"The Hermit","The AI Research Pioneer: Developing Next-Gen Neural Architectures",166,TRUE,COMPLETED
april-10,April,10,April 10,10,"Wheel of Fortune","The Tech Venture Trader: Timing Innovation Investment Cycles",155,TRUE,COMPLETED
april-11,April,11,April 11,11,"Strength","The Olympic Performance Coach: Training Elite Endurance Athletes",156,TRUE,COMPLETED
april-12,April,12,April 12,12,"The Hanged Man","The Circular Economy Director: Reversing Linear Manufacturing",162,TRUE,COMPLETED
april-13,April,13,April 13,13,"Transformation (Death)","The Corporate Overhaul Specialist: Rescuing Struggling Tech Divisions",166,TRUE,COMPLETED
april-14,April,14,April 14,14,"Temperance","The Portfolio Risk Strategist: Balancing Multi-Asset Volatility",159,TRUE,COMPLETED
april-15,April,15,April 15,15,"The Devil","The Debt Restructuring Architect: Liberating Distressed Enterprises",163,TRUE,COMPLETED
april-16,April,16,April 16,16,"The Tower","The Structural Safety Inspector: Auditing High-Rise Engineering Flaws",156,TRUE,COMPLETED
april-17,April,17,April 17,17,"The Star","The Commercial Satellite Director: Launching Earth-Observation Arrays",162,TRUE,COMPLETED
april-18,April,18,April 18,18,"The Moon","The Night-Vision Optical Engineer: Designing Thermal Imaging Systems",156,TRUE,COMPLETED
april-19,April,19,April 19,19,"The Sun","The Solar Concentrator Pioneer: Building Utility-Scale Concentrated Solar Plants",167,TRUE,COMPLETED
april-20,April,20,April 20,20,"Judgement","The Land Restoration Pioneer: Reclaiming Degraded Mine Sites",167,TRUE,COMPLETED
april-21,April,21,April 21,21,"The World","The Global Agri-Trade Director: Structuring Sustainable Commodity Networks",169,TRUE,COMPLETED
april-22,April,22,April 22,22,"The Fool","The Earth Day Master Builder: Founding Global Wilderness Corridors",175,TRUE,COMPLETED
april-23,April,23,April 23,5,"The Hierophant","The Agronomy Professor: Authoring Regenerative Agriculture Manuals",173,TRUE,COMPLETED
april-24,April,24,April 24,6,"The Lovers","The Organic Farm Co-Op Founder: Structuring Regional Agricultural Alliances",178,TRUE,COMPLETED
april-25,April,25,April 25,7,"The Chariot","The Automated Agronomy Fleet Lead: Deploying Electric Harvesters",171,TRUE,COMPLETED
april-26,April,26,April 26,8,"Justice","The Organic Certification Auditor: Verifying Global Farm Integrity",173,TRUE,COMPLETED
april-27,April,27,April 27,9,"The Hermit","The Soil Microbiologist: Unlocking Mycorrhizal Fungal Networks",183,TRUE,COMPLETED
april-28,April,28,April 28,10,"Wheel of Fortune","The Timberland Fund Director: Timing Sustainable Forestry Cycles",185,TRUE,COMPLETED
april-29,April,29,April 29,11,"Strength","The Master Equestrian Trainer: Rehabilitating Wild Thoroughbreds",175,TRUE,COMPLETED
april-30,April,30,April 30,3,"The Empress","The Herbal Alchemist: Scaling Organic Botanical Skincare Enterprises",176,TRUE,COMPLETED
may-1,May,1,May 1,1,"The Magician","The May Day Floral Herbalist: Launching Organic Artisan Tea Lines",172,TRUE,COMPLETED
may-2,May,2,May 2,2,"The High Priestess","The Spring Forest Herbalist: Decoding Fungal Communication Signatures",165,TRUE,COMPLETED
may-3,May,3,May 3,3,"The Empress","The Lavender Estate Master: Cultivating Organic Scent Distilleries",165,TRUE,COMPLETED
may-4,May,4,May 4,4,"The Emperor","The Passive Solar Architect: Building Earth-Sheltered Autonomous Estates",152,TRUE,COMPLETED
may-5,May,5,May 5,5,"The Hierophant","The Agroforestry Institute Founder: Educating Global Food Forest Designers",166,TRUE,COMPLETED
may-6,May,6,May 6,6,"The Lovers","The Eco-Glamping Alliance Director: Unifying Luxury Wilderness Retreats",159,TRUE,COMPLETED
may-7,May,7,May 7,7,"The Chariot","The Solar River Catamaran Lead: Clean Inland Water Freight Fleets",180,TRUE,COMPLETED
may-8,May,8,May 8,8,"Justice","The Fair-Trade Tea Auditor: Evaluating Mountain Plantation Wage Contracts",167,TRUE,COMPLETED
may-9,May,9,May 9,9,"The Hermit","The Canopy Botanist: Studying Epiphytic Orchids in Rainforest Tops",165,TRUE,COMPLETED
may-10,May,10,May 10,10,"Wheel of Fortune","The Citrus Orchard Investor: Acquiring & Scaling Organic Fruit Groves",177,TRUE,COMPLETED
may-11,May,11,May 11,11,"Strength","The Primate Sanctuary Lead: Protecting Mountain Rainforest Troops",158,TRUE,COMPLETED
may-12,May,12,May 12,12,"The Hanged Man","The Micro-Plastic Filtration Engineer: Intercepting Industrial Fiber Waste",166,TRUE,COMPLETED
may-13,May,13,May 13,13,"Transformation (Death)","The Phytoremediation Lead: Reclaiming Open-Pit Copper Mines",176,TRUE,COMPLETED
may-14,May,14,May 14,14,"Temperance","The Glacial Water Allocation Envoy: Managing Alpine River Basins",175,TRUE,COMPLETED
may-15,May,15,May 15,15,"The Devil","The Seed Sovereignty Litigator: Breaking Corporate Seed Monopolies",172,TRUE,COMPLETED
may-16,May,16,May 16,16,"The Tower","The Seawall Engineer: Retrofitting Coastal Tsunami Defense Barriers",164,TRUE,COMPLETED
may-17,May,17,May 17,17,"The Star","The Ocean Coral Array Lead: Deploying Deep-Sea Nursery Monitoring Satellites",175,TRUE,COMPLETED
may-18,May,18,May 18,18,"The Moon","The Hydrothermal Vent Ecologist: Mapping Abyssal Chemosynthesis",161,TRUE,COMPLETED
may-19,May,19,May 19,19,"The Sun","The Hydro-Solar Array Developer: Commissioning Floating PV Reservoirs",173,TRUE,COMPLETED
may-20,May,20,May 20,20,"Judgement","The Subterranean Crop Vault Director: Safeguard for Global Genetic Food Security",178,TRUE,COMPLETED
may-21,May,21,May 21,21,"The World","The High-Seas Treaty Negotiator: Unifying 120 Nations on Marine Sanctuaries",168,TRUE,COMPLETED
may-22,May,22,May 22,22,"The Fool","The World Biodiversity Day Champion: Launching Amazonian Corridor Networks",151,TRUE,COMPLETED
may-23,May,23,May 23,5,"The Hierophant","The Urban Arboriculture Author: Designing City Tree Canopy Policies",181,TRUE,COMPLETED
may-24,May,24,May 24,6,"The Lovers","The Mountain Guide Co-Op Director: Unifying Expedition Trekking Alliances",170,TRUE,COMPLETED
may-25,May,25,May 25,7,"The Chariot","The Hydrogen Cargo Drone Lead: Zero-Emission Heavy Air Freight",178,TRUE,COMPLETED
may-26,May,26,May 26,8,"Justice","The Tea Trade Compliance Lawyer: Enforcing Organic Plantation Ethics",184,TRUE,COMPLETED
may-27,May,27,May 27,9,"The Hermit","The Digital Herbarium AI Indexer: Modeling 200 Years of Plant Migration",191,TRUE,COMPLETED
may-28,May,28,May 28,10,"Wheel of Fortune","The Battery Storage Venture Director: Timing Utility Energy Storage IPOs",192,TRUE,COMPLETED
may-29,May,29,May 29,11,"Strength","The Migratory Songbird Flyway Lead: Protecting International Wetland Corridors",182,TRUE,COMPLETED
may-30,May,30,May 30,3,"The Empress","The Damask Rose Distiller: Scaling Organic Rose Water Fragrance Houses",175,TRUE,COMPLETED
may-31,May,31,May 31,4,"The Emperor","The Permaculture Estate Architect: Building Off-Grid Sustainable Communities",189,TRUE,COMPLETED
june-1,June,1,June 1,1,"The Magician","The Solar Kinetic Sculptor: Creating Wind-Powered Public Urban Plaza Art",171,TRUE,COMPLETED
june-2,June,2,June 2,2,"The High Priestess","The Subaquatic Speleologist: Mapping Subterranean Cavern Acoustic Echoes",158,TRUE,COMPLETED
june-3,June,3,June 3,3,"The Empress","The Alpine Strawberry Estate Master: Scaling Organic Berry Preserves",171,TRUE,COMPLETED
june-4,June,4,June 4,4,"The Emperor","The Sub-Surface Tunnel Engineer: Constructing Zero-Carbon Hyper-Loop Transit Lines",161,TRUE,COMPLETED
june-5,June,5,June 5,5,"The Hierophant","The World Environment Day Industrial Lead: Publishing Zero-Waste Factory Standards",171,TRUE,COMPLETED
june-6,June,6,June 6,6,"The Lovers","The Double-6 Berry Guild Lead: Unifying Organic Strawberry & Blackberry Growers",163,TRUE,COMPLETED
june-7,June,7,June 7,7,"The Chariot","The Hydrogen Rail Lead: Engineering High-Payload Freight Locomotives",178,TRUE,COMPLETED
june-8,June,8,June 8,8,"Justice","The World Oceans Day Seabed Tribunal Lead: Enforcing Deep-Sea Trench Mining Bans",187,TRUE,COMPLETED
june-9,June,9,June 9,9,"The Hermit","The Glacial Ice Core Taxonomist: Decoding 100,000 Years of Atmospheric History",185,TRUE,COMPLETED
june-10,June,10,June 10,10,"Wheel of Fortune","The Geothermal Reservoir Engineer: Scaling 5,000m Thermal Power Fields",166,TRUE,COMPLETED
june-11,June,11,June 11,11,"Strength","The Himalayan Wildlife Lead: High-Altitude Snow Leopard Sanctuary Defense",172,TRUE,COMPLETED
june-12,June,12,June 12,12,"The Hanged Man","The Circuit Board Silver Solar Upcycler: Reclaiming Precious Metal Photovoltaics",166,TRUE,COMPLETED
june-13,June,13,June 13,13,"Transformation (Death)","The Refinery Wastewater Remediation Lead: Decontaminating Sludge Fields",177,TRUE,COMPLETED
june-14,June,14,June 14,14,"Temperance","The Estuary Salinity Gate Mediator: Balancing Silt Flow with Farmland Runoff",170,TRUE,COMPLETED
june-15,June,15,June 15,15,"The Devil","The Smelter Emissions Antitrust Litigator: Prosecuting Air Pollution Cartels",174,TRUE,COMPLETED
june-16,June,16,June 16,16,"The Tower","The Subsea Pipeline Safety Auditor: Detecting Deep-Ocean Stress Fractures",181,TRUE,COMPLETED
june-17,June,17,June 17,17,"The Star","The World Day to Combat Desertification Lead: Deploying Solar Dew Harvesters",191,TRUE,COMPLETED
june-18,June,18,June 18,18,"The Moon","The Bioluminescent Fungal Mycologist: Mapping Nocturnal Spore Light Networks",175,TRUE,COMPLETED
june-19,June,19,June 19,19,"The Sun","The Solar Parabolic Trough Lead: Engineering 400°C Industrial Steam Fields",188,TRUE,COMPLETED
june-20,June,20,June 20,20,"Judgement","The World Refugee Day Climate Envoy: Drafting International Relocation Treaties",198,TRUE,COMPLETED
june-21,June,21,June 21,21,"The World","The Summer Solstice Power Grid Architect: Interconnecting 24-Hour Solar Energy Systems",176,TRUE,COMPLETED
june-22,June,22,June 22,22,"The Fool","The Autonomous Reforestation Master Builder: Deploying Drone Swarms Over Burned Slopes",168,TRUE,COMPLETED
june-23,June,23,June 23,5,"The Hierophant","The Circular Materials Author: Publishing Non-Toxic Bio-Resin Standards",157,TRUE,COMPLETED
june-24,June,24,June 24,6,"The Lovers","The Midsummer Apiculture Co-Op Lead: Unifying Organic Honeybee Sanctuaries",169,TRUE,COMPLETED
june-25,June,25,June 25,7,"The Chariot","The Alpine Solar Tramway Lead: Engineering High-Altitude Incline Cable Transit",177,TRUE,COMPLETED
june-26,June,26,June 26,8,"Justice","The Organic Stone Fruit Compliance Auditor: Guaranteeing Harvest Labor Standards",172,TRUE,COMPLETED
june-27,June,27,June 27,9,"The Hermit","The Basalt Carbon Sequestration Indexer: Modeling Subterranean CO2 Mineralization",192,TRUE,COMPLETED
june-28,June,28,June 28,10,"Wheel of Fortune","The Wave Hydrodynamics Engineer: Prototyping Subsea Wave Turbine Arrays",191,TRUE,COMPLETED
june-29,June,29,June 29,11,"Strength","The Albatross Island Sanctuary Lead: Protecting Sub-Antarctic Cliff Nesting Colonies",174,TRUE,COMPLETED
june-30,June,30,June 30,3,"The Empress","The Midsummer Stone Fruit Estate Master: Scaling Organic Preserve Empires",170,TRUE,COMPLETED
july-1,July,1,July 1,1,"The Magician","The High-Altitude Solar Skyscraper Architect: Designing Kinetic Facade Shading",167,TRUE,COMPLETED
july-2,July,2,July 2,2,"The High Priestess","The Bathyal Sonar Acoustic Lead: Mapping Deep-Sea Trench Echo Signals",164,TRUE,COMPLETED
july-3,July,3,July 3,3,"The Empress","The Plastic Free Day Bio-Packaging Lead: Formulating Seaweed Packaging Polymers",168,TRUE,COMPLETED
july-4,July,4,July 4,4,"The Emperor","The Space Solar Structural Engineer: Deploying Orbital Satellite Solar Wings",176,TRUE,COMPLETED
july-5,July,5,July 5,5,"The Hierophant","The Mangrove Estuary Director: Publishing Coastal Wetland Restoration Charters",169,TRUE,COMPLETED
july-6,July,6,July 6,6,"The Lovers","The Terraced Caper & Virgin Olive Oil Lead: Managing Mediterranean Exports",175,TRUE,COMPLETED
july-7,July,7,July 7,7,"The Chariot","The Electric Cargo Sailboat Lead: Transporting Organic Cacao Across Oceans",190,TRUE,COMPLETED
july-8,July,8,July 8,8,"Justice","The Coral Injunction Legal Advocate: Halting Illegal Ocean Trawling",167,TRUE,COMPLETED
july-9,July,9,July 9,9,"The Hermit","The Hydrothermal Extremophile Analyst: Decoding Abyssal Vent Microbe Enzymes",175,TRUE,COMPLETED
july-10,July,10,July 10,10,"Wheel of Fortune","The Ocean Current Subsea Turbine Lead: Scaling 100MW Tidal Array Barrages",184,TRUE,COMPLETED
july-11,July,11,July 11,11,"Strength","The Amazonian Jaguar Basin Director: Managing Flooded Forest River Patrols",168,TRUE,COMPLETED
july-12,July,12,July 12,12,"The Hanged Man","The Desalination Brine Mineral Refiner: Extracting Battery-Grade Lithium",178,TRUE,COMPLETED
july-13,July,13,July 13,13,"Transformation (Death)","The Green Steel Decarbonization Lead: Transforming Fossil Foundries into Hydrogen Mills",181,TRUE,COMPLETED
july-14,July,14,July 14,14,"Temperance","The Cloud Forest Fog Moisture Lead: Harvesting Canopy Moisture for Primate Reserves",193,TRUE,COMPLETED
july-15,July,15,July 15,15,"The Devil","The Deep-Sea Mining Ban Advocate: Litigating Abyssal Trench Preservation",163,TRUE,COMPLETED
july-16,July,16,July 16,16,"The Tower","The Volcanic Lava Tube Structural Engineer: Reinforcing Geothermal Caverns",155,TRUE,COMPLETED
july-17,July,17,July 17,17,"The Star","The High-Altitude Optical Astronomer: Aligning Deep-Space Telescope Mirrors",173,TRUE,COMPLETED
july-18,July,18,July 18,18,"The Moon","The Dinoflagellate Bio-Optics Lead: Sensing Nocturnal Marine Swarms",169,TRUE,COMPLETED
july-19,July,19,July 19,19,"The Sun","The Desert Solar Steam Desalination Chair: Generating Coastal Fresh Water",172,TRUE,COMPLETED
july-20,July,20,July 20,20,"Judgement","The Lunar Oxygen Extraction Lead: Engineering Space Habitat Life Support",188,TRUE,COMPLETED
july-21,July,21,July 21,21,"The World","The Global Ocean Treaty Plenipotentiary: Unifying 150 Nations for Marine Restoration",162,TRUE,COMPLETED
july-22,July,22,July 22,22,"The Fool","The Abyssal Trench Harvester Founder: Deploying Subsea Micro-Submarines",160,TRUE,COMPLETED
july-23,July,23,July 23,5,"The Hierophant","The Fragrance Chemistry Professor: Setting Organic Essential Oil Standards",167,TRUE,COMPLETED
july-24,July,24,July 24,6,"The Lovers","The Organic Lemongrass & Ginger Guild Lead: Directing Botanical Co-Ops",173,TRUE,COMPLETED
july-25,July,25,July 25,7,"The Chariot","The Clean Harbor Ferry Commodore: Launching Hydrogen Fuel Cell Vessels",174,TRUE,COMPLETED
july-26,July,26,July 26,8,"Justice","The Mangrove Sanctuary Litigator: Defending Coastal Blue Carbon Forests",174,TRUE,COMPLETED
july-27,July,27,July 27,9,"The Hermit","The Antarctic Sub-Ice Glaciologist: Sampling Ancient Subterranean Lakes",163,TRUE,COMPLETED
july-28,July,28,July 28,10,"Wheel of Fortune","The Spar-Buoy Aerogenerator Lead: Deploying 500MW Offshore Wind Arrays",169,TRUE,COMPLETED
